epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,122.635,0.98249,0.70016,1.21968,0.97389,0.84848,0.865,0.60417,1.17069,0.75364,1.65737,0.000338198,0.000338198,0.000338198
62,124.578,0.97559,0.72045,1.23947,0.97995,0.86538,0.86519,0.60609,1.21327,0.57728,1.70266,0.000329951,0.000329951,0.000329951
63,126.47,0.97453,0.71418,1.20692,0.9762,0.8645,0.86713,0.60469,1.12197,0.54456,1.60428,0.000321705,0.000321705,0.000321705
64,128.411,0.92031,0.6984,1.19903,0.98455,0.86024,0.86128,0.60402,1.09412,0.50504,1.59484,0.000313458,0.000313458,0.000313458
65,130.363,0.97579,0.69491,1.24747,0.97014,0.875,0.86249,0.60241,1.12051,0.49948,1.6021,0.000305211,0.000305211,0.000305211
66,132.304,0.97406,0.70716,1.21121,0.98079,0.86876,0.8675,0.6054,1.07834,0.49569,1.47494,0.000296964,0.000296964,0.000296964
67,134.259,0.98612,0.69402,1.25552,0.98256,0.86569,0.86927,0.60495,1.07939,0.49844,1.44541,0.000288718,0.000288718,0.000288718
68,136.208,1.01766,0.70779,1.22677,0.98387,0.86861,0.86811,0.61058,1.16314,0.49845,1.64414,0.000280471,0.000280471,0.000280471
69,138.134,0.95512,0.68773,1.28518,0.97381,0.86868,0.86505,0.6041,1.20043,0.52414,1.65274,0.000272224,0.000272224,0.000272224
70,140.121,0.96757,0.66089,1.20936,0.97266,0.86734,0.86647,0.6073,1.0854,0.48747,1.56794,0.000263978,0.000263978,0.000263978
71,142.044,0.93347,0.6926,1.18444,0.98189,0.86468,0.86859,0.59739,1.13116,0.50782,1.67541,0.000255731,0.000255731,0.000255731
72,143.999,0.89997,0.71438,1.21287,0.97969,0.86737,0.86593,0.60549,1.14531,0.51815,1.71965,0.000247484,0.000247484,0.000247484
73,145.921,0.9354,0.66766,1.21121,0.98151,0.86703,0.86678,0.60274,1.129,0.49379,1.70647,0.000239238,0.000239238,0.000239238
74,147.846,0.99105,0.74544,1.28219,0.98517,0.86906,0.86672,0.61561,1.16392,0.50177,1.73507,0.000230991,0.000230991,0.000230991
75,149.81,0.91129,0.73406,1.21469,0.98472,0.87143,0.86747,0.61792,1.19096,0.48529,1.76625,0.000222744,0.000222744,0.000222744
76,151.771,0.88125,0.67386,1.14832,0.97779,0.86963,0.86499,0.61622,1.19303,0.48408,1.7289,0.000214497,0.000214497,0.000214497
77,153.748,0.90738,0.6624,1.184,0.97791,0.86758,0.86242,0.61299,1.14942,0.49714,1.75286,0.000206251,0.000206251,0.000206251
78,155.7,0.85034,0.6294,1.16568,0.9769,0.86828,0.86073,0.61304,1.11028,0.49601,1.72726,0.000198004,0.000198004,0.000198004
79,157.691,0.85732,0.71732,1.18766,0.98381,0.86486,0.86414,0.62141,1.15667,0.5138,1.74646,0.000189757,0.000189757,0.000189757
